행정구역ID,행정구역,세대당공원면적
1111051500,청운효자동,337.55
1111053000,사직동,60.79
1111054000,삼청동,956.51
1111055000,부암동,0
1111056000,평창동,1.14
1111057000,무악동,2.16
1111058000,교남동,2.33
1111060000,가회동,4.84
1111061500,종로1.2.3.4가동,101.4
1111063000,종로5.6가동,0.98
1111064000,이화동,46.74
1111065000,혜화동,22.97
1111067000,창신제1동,0
1111068000,창신제2동,2.96
1111069000,창신제3동,1.4
1111070000,숭인제1동,15.4
1111071000,숭인제2동,1.47
1114052000,소공동,14.86
1114054000,회현동,0
1114055000,명동,5.7
1114057000,필동,1.78
1114058000,장충동,0
1114059000,광희동,1.88
1114060500,을지로동,12.5
1114061500,신당동,0
1114062500,다산동,0.33
1114063500,약수동,13.8
1114064500,청구동,0.26
1114065000,신당5동,3.07
1114066500,동화동,1.36
1114067000,황학동,0.16
1114068000,중림동,9.54
1117051000,후암동,0.29
1117052000,용산2가동,0
1117053000,남영동,0.95
1117055500,청파동,1.11
1117056000,원효로제1동,2.48
1117057000,원효로제2동,0.43
1117058000,효창동,40.24
1117059000,용문동,0.28
1117062500,한강로동,1.79
1117063000,이촌제1동,1.24
1117064000,이촌제2동,0.12
1117065000,이태원제1동,0.61
1117066000,이태원제2동,1.1
1117068500,한남동,0
1117069000,서빙고동,27.57
1117070000,보광동,0
1120052000,왕십리제2동,4.64
1120053500,왕십리도선동,1.26
1120054000,마장동,0.29
1120055000,사근동,0.71
1120056000,행당제1동,0
1120057000,행당제2동,0.67
1120058000,응봉동,0.39
1120059000,금호1가동,12.11
1120061500,금호2.3가동,2.72
1120062000,금호4가동,7.51
1120064500,옥수동,0.25
1120065000,성수1가제1동,63.76
1120066000,성수1가제2동,0.53
1120067000,성수2가제1동,0.68
1120069000,성수2가제3동,2.95
1120072000,송정동,0.13
1120079000,용답동,1.02
1121571000,화양동,0
1121573000,군자동,0.14
1121574000,중곡제1동,0.11
1121575000,중곡제2동,0.23
1121576000,중곡제3동,0
1121577000,중곡제4동,0
1121578000,능동,88.61
1121581000,광장동,1.95
1121582000,자양제1동,0.09
1121583000,자양제2동,1.2
1121584000,자양제3동,0.27
1121584700,자양제4동,0.15
1121585000,구의제1동,0.25
1121586000,구의제2동,0.11
1121587000,구의제3동,0
1123053600,용신동,1.63
1123054500,제기동,0.42
1123056000,전농제1동,0
1123057000,전농제2동,34.34
1123060000,답십리제1동,2.19
1123061000,답십리제2동,12.77
1123065000,장안제1동,1.68
1123066000,장안제2동,1.34
1123070500,청량리동,33.13
1123071000,회기동,0.07
1123072000,휘경제1동,0.21
1123073000,휘경제2동,0.47
1123074000,이문제1동,0.25
1123075000,이문제2동,0
1126052000,면목제2동,0.25
1126054000,면목제4동,552.28
1126055000,면목제5동,0.68
1126056500,면목본동,0.28
1126057000,면목제7동,0.13
1126057500,면목제3.8동,274.12
1126058000,상봉제1동,0.15
1126059000,상봉제2동,0.28
1126060000,중화제1동,0.03
1126061000,중화제2동,0.41
1126062000,묵제1동,0.49
1126063000,묵제2동,0.13
1126065500,망우본동,14.84
1126066000,망우제3동,0.42
1126068000,신내제1동,4.86
1126069000,신내제2동,115.2
1129052500,성북동,17.06
1129055500,삼선동,1.1
1129057500,동선동,0
1129058000,돈암제1동,47.8
1129059000,돈암제2동,0
1129060000,안암동,0.17
1129061000,보문동,1.45
1129062000,정릉제1동,0.61
1129063000,정릉제2동,0.28
1129064000,정릉제3동,0.03
1129065000,정릉제4동,151.75
1129066000,길음제1동,1.01
1129068500,길음제2동,0
1129070500,종암동,0.39
1129071500,월곡제1동,17.56
1129072500,월곡제2동,82.79
1129076000,장위제1동,0.11
1129077000,장위제2동,0.26
1129078000,장위제3동,0
1129081000,석관동,0.26
1130553400,삼양동,11.65
1130553500,미아동,0.44
1130554500,송중동,0.32
1130555500,송천동,0.16
1130557500,삼각산동,0.52
1130559500,번제1동,0.28
1130560300,번제2동,178.05
1130560800,번제3동,88.42
1130561500,수유제1동,0.53
1130562500,수유제2동,0.17
1130563500,수유제3동,0.35
1130564500,우이동,3.72
1130566000,인수동,0.13
1132051100,창제1동,64.33
1132051200,창제2동,0.57
1132051300,창제3동,0.68
1132051400,창제4동,1.66
1132051500,창제5동,0.35
1132052100,도봉제1동,847.11
1132052200,도봉제2동,9.01
1132066000,쌍문제1동,35.37
1132067000,쌍문제2동,0.19
1132068000,쌍문제3동,0.25
1132068100,쌍문제4동,0.13
1132069000,방학제1동,1.65
1132070000,방학제2동,0.45
1132071000,방학제3동,1.32
1135056000,월계제1동,25.28
1135057000,월계제2동,2.14
1135058000,월계제3동,2.06
1135059500,공릉제1동,12.17
1135060000,공릉제2동,2.13
1135061100,하계제1동,3.85
1135061200,하계제2동,2.31
1135061900,중계본동,0.52
1135062100,중계제1동,5.45
1135062400,중계제4동,632
1135062500,중계제2.3동,4.82
1135063000,상계제1동,431.88
1135064000,상계제2동,0
1135066500,상계제3.4동,0.44
1135067000,상계제5동,0.05
1135069500,상계제6.7동,8.07
1135070000,상계제8동,5.99
1135071000,상계제9동,2.17
1135072000,상계제10동,3.63
1138051000,녹번동,47.55
1138052000,불광제1동,8.31
1138053000,불광제2동,10.95
1138055100,갈현제1동,0.6
1138055200,갈현제2동,0.35
1138056000,구산동,6.75
1138057000,대조동,0.34
1138058000,응암제1동,0.26
1138059000,응암제2동,0.9
1138060000,응암제3동,0.28
1138062500,역촌동,0.24
1138063100,신사제1동,0.16
1138063200,신사제2동,12.82
1138064000,증산동,0.29
1138065000,수색동,0.1
1138069000,진관동,181.39
1141052000,천연동,14.12
1141055500,북아현동,2.86
1141056500,충현동,0.04
1141058500,신촌동,1
1141061500,연희동,114.58
1141062000,홍제제1동,2.51
1141064000,홍제제3동,2.09
1141065500,홍제제2동,0
1141066000,홍은제1동,2.26
1141068500,홍은제2동,163.45
1141069000,남가좌제1동,2.26
1141070000,남가좌제2동,0.51
1141071000,북가좌제1동,3.17
1141072000,북가좌제2동,0.41
1144055500,아현동,0.62
1144056500,공덕동,0.36
1144058500,도화동,0.37
1144059000,용강동,1.18
1144060000,대흥동,74.41
1144061000,염리동,2.04
1144063000,신수동,0.99
1144065500,서강동,8.44
1144066000,서교동,0.96
1144068000,합정동,2.02
1144069000,망원제1동,0.45
1144070000,망원제2동,0.19
1144071000,연남동,0.23
1144072000,성산제1동,11.31
1144073000,성산제2동,9.41
1144074000,상암동,197.46
1147051000,목제1동,2.27
1147052000,목제2동,19.96
1147053000,목제3동,0.27
1147054000,목제4동,0.37
1147055000,목제5동,5.16
1147056000,신월제1동,0.49
1147057000,신월제2동,0.35
1147058000,신월제3동,27.13
1147059000,신월제4동,0.73
1147060000,신월제5동,0.53
1147061000,신월제6동,1.7
1147061100,신월제7동,12.11
1147062000,신정제1동,4.2
1147063000,신정제2동,0.3
1147064000,신정제3동,93.84
1147065000,신정제4동,0.6
1147067000,신정제6동,5.99
1147068000,신정제7동,12.55
1150051000,염창동,7.36
1150052000,등촌제1동,0.32
1150053000,등촌제2동,0
1150053500,등촌제3동,1.58
1150054000,화곡제1동,1.68
1150055000,화곡제2동,0.37
1150056000,화곡제3동,0.59
1150057000,화곡제4동,0.51
1150059000,화곡본동,61.53
1150059100,화곡제6동,6.67
1150059300,화곡제8동,1
1150060300,가양제1동,68.5
1150060400,가양제2동,6.99
1150060500,가양제3동,0.6
1150061100,발산제1동,28.07
1150061500,우장산동,23.05
1150062000,공항동,4.01
1150063000,방화제1동,2.55
1150064000,방화제2동,1
1150064100,방화제3동,57.49
1153051000,신도림동,0.86
1153052000,구로제1동,0
1153053000,구로제2동,0.53
1153054000,구로제3동,0.16
1153055000,구로제4동,0.82
1153056000,구로제5동,0.39
1153059500,가리봉동,0
1153072000,고척제1동,0.04
1153073000,고척제2동,23.1
1153074000,개봉제1동,0.24
1153075000,개봉제2동,0.14
1153076000,개봉제3동,46.83
1153077000,오류제1동,97.61
1153078000,오류제2동,12.52
1153079000,수궁동,0.87
1154551000,가산동,0.27
1154561000,독산제1동,2.18
1154562000,독산제2동,0.65
1154563000,독산제3동,2.59
1154564000,독산제4동,4.68
1154567000,시흥제1동,0.5
1154568000,시흥제2동,0
1154569000,시흥제3동,2.17
1154570000,시흥제4동,1.46
1154571000,시흥제5동,1.29
1156051500,영등포본동,6.55
1156053500,영등포동,0.86
1156054000,여의동,18.89
1156055000,당산제1동,1.05
1156056000,당산제2동,0.6
1156058500,도림동,0.53
1156060500,문래동,2.35
1156061000,양평제1동,0.16
1156062000,양평제2동,12.53
1156063000,신길제1동,5.7
1156065000,신길제3동,0.22
1156066000,신길제4동,0
1156067000,신길제5동,5.11
1156068000,신길제6동,0.1
1156069000,신길제7동,0.16
1156070000,대림제1동,1.16
1156071000,대림제2동,0.24
1156072000,대림제3동,1.21
1159051000,노량진제1동,8.73
1159052000,노량진제2동,0
1159053000,상도제1동,0.16
1159054000,상도제2동,0.62
1159055000,상도제3동,0.55
1159056000,상도제4동,0.02
1159060500,흑석동,27.15
1159062000,사당제1동,0.17
1159063000,사당제2동,174.93
1159064000,사당제3동,108.44
1159065000,사당제4동,0.45
1159065100,사당제5동,0.44
1159066000,대방동,24.54
1159067000,신대방제1동,0.64
1159068000,신대방제2동,45.57
1162052500,보라매동,0.09
1162054500,청림동,0
1162056500,성현동,0
1162057500,행운동,4.09
1162058500,낙성대동,1.04
1162059500,청룡동,0.42
1162060500,은천동,28.41
1162061500,중앙동,0.29
1162062500,인헌동,0.33
1162063000,남현동,0.62
1162064500,서원동,9.52
1162065500,신원동,0.04
1162066500,서림동,0.27
1162068500,신4동,0.14
1162069500,신림동,0.12
1162071500,난향동,0.15
1162072500,조원동,0.19
1162073500,대학동,0.79
1162074500,삼성동,0.32
1162076500,미성동,6.7
1162077500,난곡동,0.94
1165051000,서초제1동,0.37
1165052000,서초제2동,0.35
1165053000,서초제3동,0.51
1165053100,서초제4동,0.58
1165054000,잠원동,1.81
1165055000,반포본동,2.79
1165056000,반포제1동,0.45
1165057000,반포제2동,5.92
1165058000,반포제3동,1.64
1165058100,반포제4동,1.15
1165059000,방배본동,0.12
1165060000,방배제1동,0.16
1165061000,방배제2동,70.92
1165062000,방배제3동,27.95
1165062100,방배제4동,0.7
1165065100,양재제1동,261.05
1165065200,양재제2동,39.05
1165066000,내곡동,708.16
1168051000,신사동,3.93
1168052100,논현제1동,2.21
1168053100,논현제2동,0.69
1168054500,압구정동,3.7
1168056500,청담동,6.51
1168058000,삼성제1동,55.72
1168059000,삼성제2동,0.1
1168060000,대치제1동,7.95
1168061000,대치제2동,0.39
1168063000,대치제4동,0.32
1168064000,역삼제1동,2.37
1168065000,역삼제2동,0.64
1168065500,도곡제1동,33
1168065600,도곡제2동,22.65
1168066000,개포제1동,0
1168067000,개포제2동,16.95
1168069000,개포제4동,0.21
1168070000,세곡동,30
1168072000,일원본동,347.99
1168073000,일원제1동,1.87
1168074000,개포제3동,3.82
1168075000,수서동,1.83
1171051000,풍납제1동,3.65
1171052000,풍납제2동,0.66
1171053100,거여제1동,11.62
1171053200,거여제2동,2.4
1171054000,마천제1동,6.33
1171055000,마천제2동,24.1
1171056100,방이제1동,5.56
1171056200,방이제2동,1.09
1171056600,오륜동,242.93
1171057000,오금동,21.77
1171058000,송파제1동,1.51
1171059000,송파제2동,2.78
1171060000,석촌동,3.08
1171061000,삼전동,10.84
1171062000,가락본동,4.97
1171063100,가락제1동,2.12
1171063200,가락제2동,50.11
1171064100,문정제1동,3.35
1171064200,문정제2동,8.51
1171064600,장지동,7.07
1171064700,위례동,26.86
1171065000,잠실본동,0.95
1171067000,잠실제2동,2.05
1171068000,잠실제3동,2.76
1171069000,잠실제4동,0
1171071000,잠실제6동,51.85
1171072000,잠실제7동,18.97
1174051500,강일동,18.65
1174052000,상일제1동,161.08
1174052500,상일제2동,161.08
1174053000,명일제1동,4.33
1174054000,명일제2동,0.67
1174055000,고덕제1동,4.72
1174056000,고덕제2동,35.63
1174057000,암사제1동,0.55
1174058000,암사제2동,0.44
1174059000,암사제3동,1.79
1174060000,천호제1동,0.34
1174061000,천호제2동,1.99
1174062000,천호제3동,0.19
1174064000,성내제1동,1.56
1174065000,성내제2동,0.18
1174066000,성내제3동,0.35
1174068500,길동,4.11
1174069000,둔촌제1동,0
1174070000,둔촌제2동,58.91
