연번,공원명,면적,개원일,주요시설,주요식물,지역,공원주소,주소,읍면동명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
35,궁동근린공원,126026㎡ ,1940.3.12,조경시설 : 파고라 3동 편의시설 : 실내체육관 1동 정자 2동 평의자 30조 관리시설 : 종합안내판 1조 초화류안내판 2개 기반시설 : 도로 산책로 등 ,수목 : 왕벚나무 소나무 히말라야시더 배롱나무 대나무 스트로브잣나무 느티나무 대왕참나무 등 초화 : 맥문동 수호초 사사 세덤류 바위솔류,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,서대문구 성산로 7길 19-24,연희동,193388.45,452419.784,126.9229851,37.5690506
36,궁산근린공원,135002.7㎡ ,1996.12.19 ,소악루 양천고성지 양천향교 자연학습탐방로 사진촬영전망대 ,아까시나무 리기다소나무 현사시나무 잣나무 때죽나무 층층나무 등   ,강서구,서울특별시 강서구 가양동 산4-7,강서구 가양동 산 4-7,가양제1동,185910.698,452700.726,126.838952,37.5735645
37,까치산근린공원,384026㎡ ,1971.8.6 ,임당 정공 신도비 ,리기다소나무 느티나무 아까시나무 때죽나무 상수리나무 ,동작구,서울특별시 동작구 사당동 산32,동작구 사당동 산32,화곡본동,196769.945,442784.443,126.9640735,37.4845836
38,꿩고개근린공원,180000㎥,1977.7.14 ,게이트볼장 정자 지압로 약수터음수전 ,아까시나무 리기다소나무 상수리나무 등 ,강서구,서울특별시 강서구 방화동 산110,강서구 방화동 산110,방화제3동,183898.231,453383.899,126.8157075,37.5801585
39,노량진공원,416031㎡ ,1993.4.17 ,조깅트랙 다목적운동장 공군충혼탑 장애인운동시설 테니스장 산책로 ,소나무 느티나무 은행나무 상수리나무 아까시나무 계수나무 모과나무 회화나무 ,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),동작구 여의대방로 15-45,대방동,193634.425,445290.39,126.928607,37.510234
40,답십리근린공원,160720㎡,1998,휴게소 5개소 그늘시렁 6동 종합체육시설 배드민턴장 문화회관,잣나무 소나무 아까시나무,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,동대문구 답십리로 209,답십리제2동,205641.232,452702.957,127.0626512,37.5750896
41,대모산도시자연공원,2277252㎡ ,1989.11.23 ,화장실 1동 약수터 1개소 편익시설 44개 다목적 운동장 1개소 ,소나무 느티나무 은행나무 상수리나무 회화나무주 ,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,강남구 광평로 10길 30-71,일원본동,206597.962,442256.152,127.0809639,37.4796489
42,탑골근린공원,19599.70㎥ ,1971.8.6 ,원각사지10층석탑 팔각정 3.1운동기념탑 손병희선생 동상 한용운선생 기념비 우물 편의시설 ,소나무 느티나무 등 29종 9912주 ,종로구,서울특별시 종로구 종로 99,종로구 종로 99,종로1.2.3.4가동,198967.317,452419.346,126.9882853,37.5710052
43,갈산근린공원,138596㎡ ,1971.8.6 ,갈산정(정상) 1동 교통교육관 및 전시물 교통안전교육 체험장 어린이놀이터 멀티코트장 등 중심광장 전망대 각종 운동시설 ,,양천구,서울특별시 양천구 신정동 162-56,양천구 신정동 162-56,신정제7동,188397.999,445234.771,126.8689146,37.5082119
44,천마근린공원,185295㎥ ,2002.10.30 ,어린이안전공원 축구장 배드민턴장 체력단련장 ,소나무군락(3.6%) 밤나무군락(3.9%) 현사시군락(5%) 아카시아군락(11%) 잣나무조림지(26%) ,송파구,서울특별시 송파구 마천동 산 1-1,송파구 마천동 1,마천제2동,213925.08,444496.729,127.1586644,37.5005173
45,도곡근린공원,254648㎡,1977.7.9,배드민턴장 약수터 화장실 정자 다목적 운동장 ,상수리나무 신갈나무 소나무 오리나무 ,강남구,서울특별시 강남구 도곡동 산31-1,강남구 도곡동 산 31-1,도곡제1동,203985.777,443426.71,127.0450338,37.4903127
46,도산근린공원,29816.5㎡ ,1997.8.6 ,도산묘소 동상 도산기념관 화장실 그늘시렁 운동시설 ,은행나무 배롱나무 노각나무 화살나무 무궁화 ,강남구,서울특별시 강남구 도산대로45길 20(도산공원),강남구 도산대로 45길 20,압구정동,203095.838,447239.077,127.0350296,37.5246752
47,청량공원,762642㎡ ,1940.3.12 ,어른신건강마당 진입광장 휴식광장 입구연못 파고라 조경수원 목교 전망테크 산림종합전시관 야외학습장 도서관 공연장 건강마당 ,소나무 단풍나무 밤나무 국수나무 등 ,성북구,서울특별시 성북구 화랑로18가길 50,성북구 화랑로 18가길 50,월곡제2동,204528.537,456092.99,127.0511145,37.6020055
48,초안산근린공원,664905㎡ ,1971.8.6 ,잔디광장 계류 생태연못 녹지대 음수대 생활체육시설 산책로 등 ,소나무 잣나무 상수리나무 무궁화 화살나무 구절초 백리향 잔디 옥잠화 식생매트 등   ,도봉구,서울특별시 도봉구 창동 산157,도봉구 창동 산157,창제1동,203623.347,461020.286,127.0455446,37.648316
49,동명근린공원,99599.9㎡ ,1989.4.29 ,축구장 족구장 배구장 배드민턴장 농구장 ,,강동구,서울특별시 강동구 고덕2동 229,강동구 고덕 2동 229,고덕제2동,214814.244,451141.586,127.1676703,37.5598341
50,마로니에공원,5802㎡ ,1982.4.29 ,야외무대 분수대 조합놀이대 ,은행나무배롱나무노각나무화살나무무궁화 ,종로구,서울특별시 종로구 대학로8길 1,종로구 대학로 8길 1,이화동,200216.931,453456.81,127.0027886,37.5802295
51,자매근린공원,총 16500㎥ ,1977.5.1 ,앙카라하우스 조형물 파고라4개소 배드민턴장 게이트볼장 화장실 관리실 ,소나무 외 51종 5147주 ,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324,영등포구 의사당대로 166,여의동,193868.629,446473.984,126.9302895,37.5177329
52,장지근린공원,585652㎥ ,2003.6.4 ,휴게광장 체력단련장 배드민턴장 ,,송파구,서울특별시 송파구 장지동 산 11번지,송파구 장지동 11,장지동,211450.664,442556.954,127.1387,37.4957083
53,명일근린공원,649709.6㎡ ,1971.8.6 ,생태연못 초가정자 바닥분수 계류 벽천 어린이놀이터 돌무더기 ,느티나무 버드나무 산수유 왕벚나무 자작나무 자산홍 꽃창포 부처꽃 속새 쑥부쟁이 옥잠화  ,강동구,서울특별시 강동구 상일동 135,강동구 상일동 135,상일1동,214163.875,450353.875,127.1613641,37.5537143
54,방화근린공원,72132㎡,1996.12.10,다목적운동장 체육시설 원형광장 연못 분수대 어린이놀이터 산책로 파고라 휴게소 ,벚나무 은행나무 참나무류   ,강서구,서울특별시 강서구 금낭화로 176(방화공원),강서구 금낭화로 176,방화제3동,183530.797,453596.414,126.8132285,37.5819812
55,아시아근린공원,66027.8㎡,1986.4.30,송파문화예술회관 야외공연장 부리도 기념비 시와 그림의 광장,,송파구,서울특별시 송파구 올림픽로 44 (잠실동),송파구 올림픽로 44,잠실제7동,206765.916,445654.014,127.0762885,37.5102779
56,배봉산근린공원,265582㎡,1992,야외무대관리사무실 어린이놀이터 약수터 산책로 체육시설 자연학습장 ,,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,동대문구 한천로 43길 12-14,전농제2동,205798.8,453616.894,127.0641623,37.5812324
57,안산도시자연공원,2088704.9㎡,1977.7.9,조경시설 : 팔각정자 야외탁자 조합놀이대 등 편의시설 : 화장실 약수터 등 관리시설 : 관리사무소 공원등 안내판 등 기반시설 : 만남의광장 산책로 등 연희숲속쉼터 : 10000㎡(연희동 산2-5 서대문청소년수련관 주변) 잔디마당 숲속쉼터허브원 습지 계류시설 홍제천 수변마당 안산자락길 : 1.69KM(옛 시민아파트 철거부지 ~ 한성과학고 뒤) 장애물이 없는 데크로드 ,수 목 : 자작 산벚 물푸레 잣나무 소나무 팥배 상수리 오리나무 아까시나무 초 화 : 구절초 기린초 노루오줌 꽃무릇 등,서대문구,서울특별시 서대문구 홍제동 산33-98,서대문구 홍제동 산 33-98,홍제제1동,194575.097,453339.773,126.9390273,37.5798246
58,염창근린공원,112070㎡,1977.7.9,골프연습장 스포츠센타,수 목 : 아까시나무 신갈나무 상수리나무 등,강서구,서울특별시 강서구 염창동 산24-1,강서구 염창동 산 24-1,염창동,188333.589,451001.141,126.8689817,37.5579702
59,백련근린공원,993724㎡,1966. 2. 5,조경시설 : 정자 파고라 조합놀이대 등  편의시설 : 청소년수련관 문화체육회관 화장실 음수대 등  관리시설 : 종합안내판 관리사무소 등  기반시설 : 도로 산책로 등   백련근린공원(논골지구) : 19500㎡(홍은2동 산11-216 서강아파트 뒤) 팔각정 초정 운동시설 계류 생태연못 허브원 장미원 실용원 약용원 등 ,수 목 : 소나무느티나무산벚나무상수리나무 등 초 화 : 맥문동 수호초 등  ,서대문구,서울특별시 서대문구 통일로 507-22(백련공원) ,서대문구 통일로  507-22,홍은제2동,193717.226,454793.495,126.928616,37.5879662
60,오금근린공원,219167㎡ 곰두리체육센터 : 7370㎡(지하2층 지상3층) 송파도서관 : 8259㎡(지하1층 지상4층) ,1990.10.30,곰두리체육센터 송파도서관 테니스장 배드민턴장 게이트볼장 자연학습관찰로 삼림욕장 ,,송파구,서울특별시 송파구 오금로 363 오금근린공원 ,송파구 오금로 363,오금동,211638.552,444566.65,127.1323957,37.5038715
61,오동근린공원,1349556.4㎡ ,1987.4.27,배드민턴장 운동장 체력단련시설,,강북구,서울특별시 강북구 번동 산20-1,강북구 번동 산 20-1,번제2동,202722.755,459142.96,127.0317269,37.6327957
62,봉산도시자연공원,1511198㎡,1977.7.14 ,산책로9㎞ 전시관 1동 운동시설,,은평구,서울특별시 은평구 구산동 산61,은평구 구산동 산61,역촌동,192210.059,456538.055,126.9020153,37.604071
63,온수도시자연공원,1097565㎡,1971.8.6,배드민턴장 체력단련장 철봉 허리돌리기 등 운동기구,,구로구,서울특별시 구로구 개봉동 산2-60,구로구 개봉동 산 2-60,개봉제1동,185881.953,444742.911,126.83695,37.5002598
64,봉은공원,328018㎡,1971.8.6,奉恩寺 도심 한가운데 있는 奉恩寺는 그 외형적 규모뿐 아니라 역사적으로 서울의 대표적인 사찰로 알려져 있다. 일제시대에는 서울과 경기 일원의 80여 사찰을 관장하던 본사였고 조선시대에는 억불정책에도 불구하고 선종의 수사찰(首寺刹)로 한국불교의 명맥을 유지하는데 결정적 공헌을 해온 곳이다. 선불당(選佛堂) 봉은사 대웅전 한단 아래 왼쪽에 자리잡고 있는 선불당은 대중을 위한 禪房으로1941년 심검당이 있던 자리에 중건된 것이다. 선불당은 계율을 일러주는 곳 혹은 선법.교법을 닦는 곳이다. 秋史 金正喜의 '板殿' 현판 (서울시 유형문화재 제76호: 1991년 5월28일 지정) 봉은사에 있는 화엄경소를 비롯한 15종 3438매의 많은 목판본을 보관하기 위하여 세워진 전각인 판전의 정면 어칸의 처마에 걸려 있는 편액이다. 이 편액은 추사 김정희(1786~1856?)의 말년 작품으로 왼쪽에 세로로 '칠십일과병중작(칠십일과병중작)'이라 쓰여진 바와 같이 그가 71세때 병중에 쓴 글씨로 유명하다. 대방광불화엄경(大方廣佛華嚴經) 수소연의 초판 (서울시 유형문화재 제84호: 1992년 12월28일 지정) 봉은사 판전에 보관되어 있는 총 15종 3438판의 목판본 중 3133판이 바로 대방광불화엄경이다. 대승불교의 대표적 경전이라 할 수 있는 이 화엄경판은 처음 중국 당나라의 실차난타와 징관이 각각 번역하고 찬한 것으로 흔히 '화엄경'으로 줄여 부른다. 주된 내용은 부처님이 성도한 깨달음의 내용을 그대로 나타내고 있는 경전으로 여러 대승불교의 경전 가운데서도 교학적.사상적으로 불교의 핵심을 가장 깊게 담고 있다는 평가를 받고 있다. ,,강남구,서울특별시 강남구 삼성동 75,강남구 삼성동 75,삼성제1동,205055.257,446107.569,127.0554961,37.5139026
65,올림픽공원,총 1447122㎡,1988,몽촌토성 음악분수 올림픽회관 지구촌공원 피크닉장 88마당 체육관,,송파구,서울특별시 송파구 올림픽로 424 (방이동),송파구 올림픽로 424,오륜동,210704.492,446848.357,127.122959,37.520934
66,와룡근린공원,207790㎡ ,1984.4.1,말바위 테니스장 노천탕,,종로구,서울특별시 종로구 와룡공원길 192 (우) 03063,종로구 와룡공원길 192,혜화동,199375.724,454648.216,126.9901672,37.5907944
67,봉화산근린공원,1018689㎡,1977.7.9,봉수대 등,소나무잦나무아까시산철쭉개나리벚나무,중랑구,서울특별시 중랑구 묵동 산46-1,중랑구 묵동 산46-1,묵제1동,207704.38,456624.859,127.0923625,37.6106404
68,북악산도시자연공원,954553㎡,1963.12.21,현재 북악은 청와대가 있어 일반인의 등산이 금지되어 있으나 1967년까지는 청와대 뒤의 북악 일대도 가벼운 등산길이었다. 그러나 1968년 1월 21일 북한 무장공비들이 이곳까지 침투해 온 사건이 발생하여 수도권 경비강화를 목적으로 북악스카이웨이를 만들고 등산길은 폐쇄하였다.   숙정문과 창의문 사이에는 성곽옆에 1.21사태 소나무가 생육중이다.   북악산도시자연공원에는 서울성곽 18.627km의 탐방코스중 4대문 중 북대문인 숙정문에서  4소문중 북소문인 창의문 구간 약 2km의 코스가 있다.   창의문 외곽에는 북악산도시자연공원은 아니지만 자연경관보호지역으로 백사실계곡이 인접하여 있다. ,수 목 : 소나무단풍나무느티나무팥배나무 외 30여종,종로구,서울특별시 종로구 부암동 산2-6,부암동 산 2-6,부암동,197674.654,454875.702,126.9737295,37.5929992
69,북한산국립공원,1667848㎡,1983.4.2,,수 목 : 소나무단풍나무  초 화 : 장미 ,강북구,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,강북구 은평구 서대문구,진관동,197794.632,459148.384,127.000938,37.624549
70,외국인묘지공원,13224㎡,1965.5.6,묘지 517기 휴게시설 편의시설 녹지대,은행나무 등 20여종의 교목 및 관목 3109주,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구 양화진길 46,합정동,192167.931,449671.831,126.911414,37.546797
71,불광근린공원,130345㎡,1977.7.14 ,도서관 산책로 실외배드민턴장 등,,은평구,서울특별시 은평구 불광동 산33-1,은평구 불광동 산33-1,불광제1동,193822.483,457501.131,126.9298962,37.6188016
72,불암산도시자연공원,5332422㎡,1977.7.9,등산로 및 휴게시설,소나무 상수리나무 서나무 오리나무 팥배나무 등,노원구,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,노원구 한글비석로 12길 51-33,중계제4동,208214.172,462688.18,127.0952714,37.6636719
73,용마폭포공원,5107964㎡,1958.2.15,광장 4개소 노인정 수영장 용마폭포공원 ,,중랑구,서울특별시 중랑구 면목동 산1-4 ,중랑구 면목동 산 1-4,면목제4동,207876.919,452652.907,127.0905888,37.5731968
74,사육신공원,47832㎡,1978.5.19,사육신묘 의절사 불이문 홍살문 비각 산책로,소나무 느티나무 향나무 팥배나무 무궁화 주목 구상나무,동작구,서울특별시 동작구 노량진로 191,동작구 노량진로 191,노량진제1동,195483.866,446027.256,126.948636,37.5137049
75,용왕산근린공원,213552㎡,1971.8.6,용왕정 1동(정도600년 기념 건립) 잔디광장 6000㎡ 조깅코스 400m 건강지압로90m 배드민턴장3개소 게이트볼장1개소 어린이 놀이터1개소 약수터2개소 각종 운동시설(체력단련장) 화장실 3개동 공원등 63개 기타시설 등 ,,양천구,서울특별시 양천구 목동 199-51,양천구 목동 199-51,목제2동,189177.756,449262.403,126.8783125,37.5429593
76,사직근린공원,168099.87㎡,1940.3.12,사직단 단군성전 황학정 어린이도서관 종로시립도서관 수영장,수 목 : 소나무 외 42종 11350주,종로구,서울특별시 종로구 사직로9길 5,종로구 사직로 9길 5,사직동,197219.855,452943.808,126.9674018,37.5759864
77,우장산근린공원,359435.2㎡,1988.12.30,강서구민회관 서울정보기능대학 운동장(인조잔디구장조깅트랙) 테니스장 트림코스장 조각의 거리 야외무대 국궁장 등,상수리나무 아까시나무 잣나무 소나무 쪽동백나무 등,강서구,서울특별시 강서구 내발산동 산4-5,강서구 내발산동 산4-5,우장산동,186055.82,450217.146,126.844932,37.5541932
78,삼일근린공원,36660㎡,1990.12.21,삼일공원비 삼일공원 산책길 삼일공원 놀이터,소나무 잣나무 은행나무 느티나무 단풍나무 버즘나무 감나무 목련 산수유 등,동작구,서울특별시 동작구 사당동 산24-17,동작구 사당동 산24-17,사당제3동,197729.062,442960.391,126.9743686,37.4860183
79,삼청근린공원,380735㎡ ,1940.3.12,삼청동문(암각) 배드민턴장 테니스장 어린이 놀이터 다목적 공터 및 매점 등 ,수 목 : 소나무 외 15종 200000주,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,종로구 북촌로 134-1,삼청동,198430.819,454679.963,126.9842875,37.5895821
80,인왕산도시자연공원,1807420.9㎡,1940.3.12,인왕사 선바위 국사당 인왕천 만수천 석굴암약수터,,종로구,서울특별시 종로구 옥인동 산 3-1 ,종로구 옥인동 3,청운효자동,196822.477,453849.5,126.9578438,37.5849001
81,상도근린공원,359342.8㎡,1940. 03. 12,배드민턴장 생활체육시설 약수터 산책로,리기다소나무 느티나무 아까시나무 때죽나무 상수리나무,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,동자구 성대로 6사길 27-6,상도제1동,194702.393,443757.499,126.9385469,37.492299
82,일자산도시자연공원,632733㎡,2008.3.22,실내배드민턴장 실내체육관 산책로 X-게임장 잔디광장 인공폭포,키큰나무 1408본 작은나무 26406본 초화류 35290종 잔디 17300㎡,강동구,서울특별시 강동구 동남로 660(일자산공원),강동구 동남로 660,둔촌제2동,214150.546,448674.699,127.1574587,37.5431657
83,쌍문근린공원,328018㎡,1971.8.6,산책등산로 정자 약수터 화장실 테니스장 배구장 배드민턴장 문화센터 등,아카시아 팥배나무 스트로브잣나무 느티나무 홍단풍 산철쭉 영산홍 상록교목 낙엽교목 상록관목 낙엽관목 등,도봉구,서울특별시 도봉구 쌍문동 산80,도봉구 쌍문동 산80,쌍문제4동,202427.91,461529.336,127.0271316,37.6531456
